OGLE-LMC-RRLYR-00001  LMC158.8    216 RRab  04:27:45.47 -70:43:12.0                                     
OGLE-LMC-RRLYR-00002  LMC158.5    211 RRab  04:27:58.46 -70:10:59.4                                     
OGLE-LMC-RRLYR-00003  LMC158.6    247 RRab  04:28:08.50 -70:21:22.8                                     
OGLE-LMC-RRLYR-00004  LMC158.6    271 RRab  04:28:19.31 -70:22:12.0                                     
OGLE-LMC-RRLYR-00005  LMC158.5    262 RRab  04:28:21.07 -70:08:54.4                                     
OGLE-LMC-RRLYR-00006  LMC158.8    286 RRab  04:28:28.19 -70:41:44.4                                     
OGLE-LMC-RRLYR-00007  LMC158.7    320 RRab  04:28:38.81 -70:28:19.8                                     
OGLE-LMC-RRLYR-00008  LMC158.6    346 RRab  04:28:57.78 -70:17:16.6                                     
OGLE-LMC-RRLYR-00009  LMC157.5    640 RRd   04:29:08.87 -69:36:59.5                                     
OGLE-LMC-RRLYR-00010  LMC158.8   2019 RRab  04:29:19.47 -70:41:24.1                                     
OGLE-LMC-RRLYR-00011  LMC158.8   1805 RRab  04:29:22.01 -70:39:49.8                                     
OGLE-LMC-RRLYR-00012  LMC157.7    245 RRab  04:29:24.99 -69:50:38.5                                     
OGLE-LMC-RRLYR-00013  LMC157.8    235 RRab  04:29:33.78 -70:03:11.3                                     
OGLE-LMC-RRLYR-00014  LMC157.8    518 RRab  04:29:39.61 -70:07:47.3                                     
OGLE-LMC-RRLYR-00015  LMC158.8   1844 RRc   04:29:43.11 -70:41:11.3                                     
OGLE-LMC-RRLYR-00016  LMC158.5   2527 RRab  04:29:46.33 -70:08:43.8                                     
OGLE-LMC-RRLYR-00017  LMC158.5   2225 RRab  04:29:49.37 -70:11:02.5                                     
OGLE-LMC-RRLYR-00018  LMC158.8   1875 RRab  04:29:53.37 -70:40:25.0                                     
OGLE-LMC-RRLYR-00019  LMC158.5   2560 RRab  04:29:58.33 -70:11:06.9                                     
OGLE-LMC-RRLYR-00020  LMC157.7    337 RRc   04:30:00.37 -69:59:09.9                                     
OGLE-LMC-RRLYR-00021  LMC158.5   2281 RRd   04:30:09.97 -70:13:36.2                                     
OGLE-LMC-RRLYR-00022  LMC156.8    366 RRab  04:30:18.47 -69:31:14.5                                     
OGLE-LMC-RRLYR-00023  LMC158.5   2340 RRab  04:30:26.51 -70:10:20.3                                     
OGLE-LMC-RRLYR-00024  LMC157.8    380 RRab  04:30:27.09 -70:03:47.0                                     
OGLE-LMC-RRLYR-00025  LMC157.7    405 RRab  04:30:28.14 -69:51:56.3                                     
OGLE-LMC-RRLYR-00026  LMC157.8    619 RRab  04:30:28.56 -70:05:58.4                                     
OGLE-LMC-RRLYR-00027  LMC157.8   1984 RRab  04:30:41.79 -70:07:07.8                                     
OGLE-LMC-RRLYR-00028  LMC156.7    418 RRab  04:30:43.04 -69:23:07.7                                     
OGLE-LMC-RRLYR-00029  LMC156.6    411 RRc   04:30:43.58 -69:06:48.4                                     
OGLE-LMC-RRLYR-00030  LMC158.7   2130 RRab  04:30:47.41 -70:30:46.3                                     
OGLE-LMC-RRLYR-00031  LMC158.7   2409 RRab  04:30:49.31 -70:28:19.7                                     
OGLE-LMC-RRLYR-00032  LMC157.5   2658 RRc   04:30:52.62 -69:36:38.4                                     
OGLE-LMC-RRLYR-00033  LMC158.7   2427 RRab  04:30:57.04 -70:32:26.8                                     
OGLE-LMC-RRLYR-00034  LMC157.6   2543 RRab  04:31:02.52 -69:43:48.9                                     
OGLE-LMC-RRLYR-00035  LMC157.5   3030 RRc   04:31:07.16 -69:41:07.3                                     
OGLE-LMC-RRLYR-00036  LMC157.8   2344 RRab  04:31:10.62 -70:07:23.6                                     
OGLE-LMC-RRLYR-00037  LMC157.6   2283 RRab  04:31:16.01 -69:49:37.8                                     
OGLE-LMC-RRLYR-00038  LMC158.4    277 RRe   04:31:18.61 -70:14:59.1                                     
OGLE-LMC-RRLYR-00039  LMC157.6   2305 RRab  04:31:23.44 -69:43:49.1                                     
OGLE-LMC-RRLYR-00040  LMC158.4    303 RRab  04:31:26.49 -70:13:14.6                                     
OGLE-LMC-RRLYR-00041  LMC158.2    276 RRab  04:31:29.05 -70:29:09.5                                     
OGLE-LMC-RRLYR-00042  LMC158.1    263 RRc   04:31:34.12 -70:38:49.0                                     
OGLE-LMC-RRLYR-00043  LMC157.8   2129 RRab  04:31:35.30 -70:01:53.1                                     
OGLE-LMC-RRLYR-00044  LMC155.8    335 RRab  04:31:37.18 -68:51:29.8                                     
OGLE-LMC-RRLYR-00045  LMC157.7   2547 RRab  04:31:41.67 -69:54:39.5                                     
OGLE-LMC-RRLYR-00046  LMC158.3    313 RRc   04:31:45.25 -70:22:39.2                                     
OGLE-LMC-RRLYR-00047  LMC157.8   2409 RRab  04:31:45.46 -70:00:02.1                                     
OGLE-LMC-RRLYR-00048  LMC157.5   2836 RRab  04:31:49.60 -69:34:24.0                                     
OGLE-LMC-RRLYR-00049  LMC155.7    418 RRab  04:31:52.65 -68:46:02.5                                     
OGLE-LMC-RRLYR-00050  LMC156.6   3883 RRab  04:31:57.36 -69:08:33.6                                     
OGLE-LMC-RRLYR-00051  LMC156.5   3331 RRab  04:31:57.68 -69:02:47.9                                     
OGLE-LMC-RRLYR-00052  LMC158.2    340 RRd   04:31:58.09 -70:27:57.4                                     
OGLE-LMC-RRLYR-00053  LMC156.8   4050 RRe   04:31:59.16 -69:29:05.0                                     
OGLE-LMC-RRLYR-00054  LMC156.6   3900 RRc   04:32:01.74 -69:09:49.5                                     
